TotalRequests,Throughput,Min,Max,Median,p99,Mean
32000,238,88,11495,108,366,126
10000,140,90,1871,110,414,137
30000,372,92,2090,111,372,130
28000,274,92,1411,116,381,142
20000,196,91,2134,110,322,124
10000,86,89,1009,105,295,113
12000,122,92,1522,106,316,120
48000,292,88,1935,110,402,133
24000,196,91,1621,112,448,146
