Timestamp,Throughput
1711739703056,0.0
1711739713058,548.8255872063968
1711739723060,566.8516019393212
1711739733060,574.2660045989269
1711739743058,572.103487064117
1711739753060,559.041734157218
1711739763061,563.591521130516
1711739773061,566.7780825048566
1711739783056,570.3036136144894
1711739793060,570.466741475663
1711739803056,571.8428447146586
1711739813057,571.4064943092978
1711739823061,572.028531431238
1711739833069,573.4524981540734
1711739843065,573.6008342142102
1711739853062,574.2922091341187
1711739863066,574.828295201015
1711739873066,575.1795450936105
1711739883070,575.8233944571901
1711739893072,576.8791541898441
1711739903068,577.9616528760343
1711739913073,574.7405009046757
1711739923068,572.1337181555804
1711739933072,572.9570165942813
1711739943070,578.3715320164822
1711739953081,586.8182763530485
1711739963070,592.3151178576785
1711739973073,599.0445152210948
1711739983073,603.9568602242697
1711739993069,606.1941410129095
1711740003070,608.5888466320242
1711740013075,611.3114553160743
1711740023074,616.1658141184485
